prob,vertices,arestas,densidade,pdg,bbgdelta,bbgstf,plidelta,plistf
0.1,20,18,0.0947,22.9227,22.9489,22.9227,0.2117,0.0872
0.1,20,22,0.1158,58.0643,31.0353,58.0643,0.0948,0.0783
0.1,20,23,0.1211,70.2427,189.0121,70.2427,1.0873,0.071
0.1,20,19,0.1,60.3039,30.2956,60.3039,0.1217,0.1124
0.1,20,16,0.0842,6.7558,3.5331,6.7558,0.0583,0.0586
0.3,20,60,0.3158,900.1563,900.1563,900.1563,55.0297,54.4168
0.3,20,48,0.2526,900.1563,900.1563,900.1563,22.8978,22.2265
0.3,20,52,0.2737,900.1563,900.1563,900.1563,42.8496,43.3564
0.3,20,65,0.3421,900.1563,900.1563,900.1563,82.6814,95.7179
0.3,20,55,0.2895,900.1563,900.1563,900.1563,32.9144,48.9408
0.5,20,103,0.5421,900.1563,900.1563,900.1563,900.1386,900.1529
0.5,20,95,0.5,900.1563,900.1563,900.1563,900.1563994,900.156397
0.5,20,106,0.5579,900.1563,900.1563,900.1563,900.1658,900.156397
0.5,20,84,0.4421,900.1563,900.1563,900.1563,422.388,192.0769
0.5,20,93,0.4895,900.1563,900.1563,900.1563,869.3215,671.4922
0.7,20,138,0.7263,900.1563,900.1563,900.1563,900.153,900.1128
0.7,20,131,0.6895,900.1563,900.1563,900.1563,900.1816,900.1406
0.7,20,131,0.6895,900.1563,900.1563,900.1563,900.1664,900.1506
0.7,20,126,0.6632,900.1563,900.1563,900.1563,900.236,900.1006
0.7,20,142,0.7474,900.1563,900.1563,900.1563,900.2769,900.1489
0.9,20,174,0.9158,900.1563,900.1563,900.1563,900.2701,900.1445
0.9,20,170,0.8947,900.1563,900.1563,900.1563,900.2477,900.1718
0.9,20,176,0.9263,900.1563,900.1563,900.1563,900.1885,900.2173
0.9,20,177,0.9316,900.1563,900.1563,900.1563,900.2152,900.2156
0.9,20,173,0.9105,900.1563,900.1563,900.1563,900.228,900.2024
0.1,25,24,0.08,900.1563,900.1563,900.1563,0.5229,0.4831
0.1,25,24,0.08,900.1563,900.1563,900.1563,0.1715,0.1365
0.1,25,26,0.0867,900.1563,841.2043,900.1563,0.1849,0.1633
0.1,25,42,0.14,900.1563,900.1563,900.1563,7.7589,8.5693
0.1,25,33,0.11,900.1563,900.1563,900.1563,0.1703,0.1446
0.3,25,92,0.3067,900.1563,900.1563,900.1563,390.7195,900.1563
0.3,25,109,0.3633,900.1563,900.1563,900.1563,900.1336,900.1563
0.3,25,86,0.2867,900.1563,900.1563,900.1563,327.2523,333.3051
0.3,25,87,0.29,900.1563,900.1563,900.1563,541.5691,900.1563
0.3,25,87,0.29,900.1563,900.1563,900.1563,690.3803,492.7151
0.5,25,152,0.5067,900.1563,900.1563,900.1563,900.2666,900.1233
0.5,25,150,0.5,900.1563,900.1563,900.1563,900.2006,900.1283
0.5,25,151,0.5033,900.1563,900.1563,900.1563,900.1998,900.1512
0.5,25,170,0.5667,900.1563,900.1563,900.1563,900.1692,900.1564
0.5,25,142,0.4733,900.1563,900.1563,900.1563,900.1573,900.1562
0.7,25,213,0.71,900.1563,900.1563,900.1563,900.2199,900.1791
0.7,25,213,0.71,900.1563,900.1563,900.1563,900.2241,900.1762
0.7,25,208,0.6933,900.1563,900.1563,900.1563,900.1804,900.1928
0.7,25,199,0.6633,900.1563,900.1563,900.1563,900.244,900.1347
0.7,25,201,0.67,900.1563,900.1563,900.1563,900.2087,900.1477
0.9,25,270,0.9,900.1563,900.1563,900.1563,900.3176,900.2648
0.9,25,266,0.8867,900.1563,900.1563,900.1563,900.2874,900.2133
0.9,25,272,0.9067,900.1563,900.1563,900.1563,900.2522,900.2233
0.9,25,274,0.9133,900.1563,900.1563,900.1563,900.2752,900.2903
0.9,25,276,0.92,900.1563,900.1563,900.1563,900.3682,900.2459
