n,m,vertices,arestas,delta,stairfactor,densidade,grundy,tempo
2,3,8,10,5,4,0.3571,4,0.0293
2,4,10,13,6,4,0.2889,4,0.2872
2,5,12,16,7,4,0.2424,4,2.097
2,6,14,19,8,4,0.2088,4,17.8317
2,7,16,22,9,4,0.1833,4,134.9344
2,8,18,25,10,4,0.1634,5,900
2,9,20,28,11,4,0.1474,5,900
3,3,12,17,6,5,0.2576,4,3.2807
3,4,15,22,7,6,0.2095,4,75.0785
3,5,18,27,8,6,0.1765,5,900
3,6,21,32,9,6,0.1524,5,900
3,7,24,37,10,6,0.1341,5,900
3,8,27,42,11,6,0.1197,5,900
3,9,30,47,12,6,0.108,5,900
4,3,16,24,6,6,0.2,5,142.4074
4,4,20,31,7,7,0.1632,5,900
4,5,24,38,8,7,0.1377,5,900
4,6,28,45,9,7,0.119,5,900
4,7,32,52,10,7,0.1048,5,900
4,8,36,59,11,7,0.0937,5,900
4,9,40,66,12,7,0.0846,5,900
5,3,20,31,6,6,0.1632,5,900
5,4,25,40,7,7,0.1333,5,900
5,5,30,49,8,8,0.1126,5,900
5,6,35,58,9,8,0.0975,5,900
5,7,40,67,10,8,0.0859,5,900
5,8,45,76,11,8,0.0768,5,900
5,9,50,85,12,8,0.0694,5,900
6,3,24,38,6,6,0.1377,5,900
6,4,30,49,7,7,0.1126,5,900
6,5,36,60,8,8,0.0952,5,900
6,6,42,71,9,9,0.0825,5,900
6,7,48,82,10,9,0.0727,5,900
6,8,54,93,11,9,0.065,5,900
6,9,60,104,12,9,0.0588,5,900
7,3,28,45,6,6,0.119,5,900
7,4,35,58,7,7,0.0975,5,900
7,5,42,71,8,8,0.0825,5,900
7,6,49,84,9,9,0.0714,5,900
7,7,56,97,10,10,0.063,5,900
7,8,63,110,11,10,0.0563,5,900
7,9,70,123,12,10,0.0509,5,900
8,3,32,52,6,6,0.1048,5,900
8,4,40,67,7,7,0.0859,5,900
8,5,48,82,8,8,0.0727,5,900
8,6,56,97,9,9,0.063,5,900
8,7,64,112,10,10,0.0556,5,900
8,8,72,127,11,11,0.0497,5,900
8,9,80,142,12,11,0.0449,5,900
9,3,36,59,6,6,0.0937,5,900
9,4,45,76,7,7,0.0768,5,900
9,5,54,93,8,8,0.065,5,900
9,6,63,110,9,9,0.0563,5,900
9,7,72,127,10,10,0.0497,5,900
9,8,81,144,11,11,0.0444,5,900
9,9,90,161,12,12,0.0402,5,900
