n,m,vertices,arestas,delta,stairfactor,densidade,grundy,tempo
2,3,8,10,5,4,0.3571,4.0,0.082
2,4,10,13,6,4,0.2889,4.0,0.0435
2,5,12,16,7,4,0.2424,4.0,0.0376
2,6,14,19,8,4,0.2088,4.0,0.0375
2,7,16,22,9,4,0.1833,4.0,0.0523
2,8,18,25,10,4,0.1634,4.0,0.0494
2,9,20,28,11,4,0.1474,4.0,0.0551
3,3,12,17,6,5,0.2576,4.0,0.1091
3,4,15,22,7,6,0.2095,4.0,0.6602
3,5,18,27,8,6,0.1765,4.0,0.6507
3,6,21,32,9,6,0.1524,4.0,0.7305
3,7,24,37,10,6,0.1341,4.0,1.1645
3,8,27,42,11,6,0.1197,4.0,2.46
3,9,30,47,12,6,0.108,4.0,1.5074
4,3,16,24,6,6,0.2,5.0,1.0894
4,4,20,31,7,7,0.1632,5.0,2.2848
4,5,24,38,8,7,0.1377,5.0,3.2007
4,6,28,45,9,7,0.119,5.000000000000001,5.1624
4,7,32,52,10,7,0.1048,5.000000000000001,6.182
4,8,36,59,11,7,0.0937,5.000000000000001,6.5794
4,9,40,66,12,7,0.0846,5.0,16.7327
5,3,20,31,6,6,0.1632,5.0,2.6892
5,4,25,40,7,7,0.1333,5.0,8.4706
5,5,30,49,8,8,0.1126,5.0,12.3889
5,6,35,58,9,8,0.0975,5.0,20.3157
5,7,40,67,10,8,0.0859,5.0,22.2911
5,8,45,76,11,8,0.0768,5.000000000000001,34.523
5,9,50,85,12,8,0.0694,5.000000000000001,36.0979
6,3,24,38,6,6,0.1377,6.0,8.4999
6,4,30,49,7,7,0.1126,6.000000000000002,31.9167
6,5,36,60,8,8,0.0952,6.000000000000001,63.4895
6,6,42,71,9,9,0.0825,5.999999999999999,45.0427
6,7,48,82,10,9,0.0727,6.0,135.5291
6,8,54,93,11,9,0.065,6.0,157.839
6,9,60,104,12,9,0.0588,6.000000000000001,115.2027
7,3,28,45,6,6,0.119,6.0,0.7864
7,4,35,58,7,7,0.0975,6.0,190.081
7,5,42,71,8,8,0.0825,6.0,117.3388
7,6,49,84,9,9,0.0714,6.0,216.6919
7,7,56,97,10,10,0.063,6.000000000000003,96.575
7,8,63,110,11,10,0.0563,6.0,102.8806
7,9,70,123,12,10,0.0509,6.0,127.9469
8,3,32,52,6,6,0.1048,6.0,2.6586
8,4,40,67,7,7,0.0859,6.0,309.2882
8,5,48,82,8,8,0.0727,6.0,144.8124
8,6,56,97,9,9,0.063,6.0,109.5733
8,7,64,112,10,10,0.0556,6.0,161.7867
8,8,72,127,11,11,0.0497,6.0,215.138
8,9,80,142,12,11,0.0449,5,900
9,3,36,59,6,6,0.0937,6.0,20.6295
9,4,45,76,7,7,0.0768,5,900
9,5,54,93,8,8,0.065,5,900
9,6,63,110,9,9,0.0563,6.0,576.5879
9,7,72,127,10,10,0.0497,5,900
9,8,81,144,11,11,0.0444,5,900
9,9,90,161,12,12,0.0402,6.0,365.5683
