prob,vertices,arestas,delta,stairfactor,densidade,grundy,tempo
0.1,10,1,2,2,0.0222,2.0,0.0002
0.1,10,1,2,2,0.0222,2.0,0.0005
0.1,10,4,3,3,0.0889,3.0,0.0015
0.1,10,4,4,2,0.0889,2.0,0.0015
0.1,10,6,4,3,0.1333,3.0,0.0029
0.3,10,8,4,4,0.1778,4.0,0.0023
0.3,10,13,5,5,0.2889,4.0,0.0449
0.3,10,12,5,5,0.2667,4.0,0.0412
0.3,10,12,6,5,0.2667,4.0,0.0716
0.3,10,17,6,5,0.3778,5.0,0.3545
0.5,10,17,6,5,0.3778,5.0,0.359
0.5,10,25,8,7,0.5556,6.0,4.108
0.5,10,23,8,6,0.5111,5.0,3.3716
0.5,10,19,7,5,0.4222,5.0,0.8377
0.5,10,26,8,7,0.5778,6.0,5.5033
0.7,10,28,9,7,0.6222,6.0,10.349
0.7,10,32,9,8,0.7111,7.0,17.0138
0.7,10,33,9,8,0.7333,7.0,16.5634
0.7,10,32,9,7,0.7111,7.0,14.8062
0.7,10,35,10,8,0.7778,6.0,47.8265
0.9,10,40,10,9,0.8889,7.0,47.585
0.9,10,42,10,9,0.9333,8.0,29.0042
0.9,10,38,10,8,0.8444,8.0,34.3237
0.9,10,42,10,9,0.9333,7.0,46.4523
0.9,10,42,10,9,0.9333,9.0,20.4704
0.1,15,16,5,5,0.1524,4.0,0.8387
0.1,15,11,6,4,0.1048,4.0,0.1508
0.1,15,10,4,4,0.0952,3.0,0.0516
0.1,15,10,4,4,0.0952,3.0,0.0514
0.1,15,15,6,4,0.1429,4.0,0.968
0.3,15,27,6,6,0.2571,5.0,153.3028
0.3,15,33,8,7,0.3143,9.0,900.0
0.3,15,25,7,6,0.2381,6.0,118.0314
0.3,15,47,10,9,0.4476,9.0,900.0
0.3,15,26,7,7,0.2476,6.0,144.1089
0.5,15,59,11,10,0.5619,9.0,900.0
0.5,15,53,11,9,0.5048,9.0,900.0
0.5,15,56,11,10,0.5333,9.0,900.0
0.5,15,63,12,10,0.6,9.0,900.0
0.5,15,54,11,10,0.5143,9.0,900.0
0.7,15,71,13,10,0.6762,9.0,900.0
0.7,15,79,14,12,0.7524,9.0,900.0
0.7,15,79,13,12,0.7524,9.0,900.0
0.7,15,75,14,12,0.7143,9.0,900.0
0.7,15,77,13,12,0.7333,9.0,900.0
0.9,15,97,15,14,0.9238,9.0,900.0
0.9,15,96,15,14,0.9143,9.0,900.0
0.9,15,94,15,13,0.8952,9.0,900.0
0.9,15,96,15,13,0.9143,9.0,900.0
0.9,15,95,15,13,0.9048,9.0,900.0
0.1,20,18,6,5,0.0947,4.0,22.9489
0.1,20,22,5,5,0.1158,5.0,31.0353
0.1,20,23,7,5,0.1211,5.0,189.0121
0.1,20,19,5,5,0.1,4.0,30.2956
0.1,20,16,4,4,0.0842,4.0,3.5331
0.3,20,60,10,9,0.3158,5.0,900.0
0.3,20,48,9,7,0.2526,5.0,900.0
0.3,20,52,8,8,0.2737,5.0,900.0
0.3,20,65,12,9,0.3421,5.0,900.0
0.3,20,55,11,9,0.2895,5.0,900.0
0.5,20,103,15,13,0.5421,5.0,900.0
0.5,20,95,15,12,0.5,5.0,900.0
0.5,20,106,17,13,0.5579,5.0,900.0
0.5,20,84,13,10,0.4421,5.0,900.0
0.5,20,93,14,11,0.4895,5.0,900.0
0.7,20,138,18,15,0.7263,5.0,900.0
0.7,20,131,18,15,0.6895,5.0,900.0
0.7,20,131,17,14,0.6895,5.0,900.0
0.7,20,126,17,14,0.6632,5.0,900.0
0.7,20,142,19,16,0.7474,5.0,900.0
0.9,20,174,20,18,0.9158,5.0,900.0
0.9,20,170,20,18,0.8947,5.0,900.0
0.9,20,176,20,18,0.9263,5.0,900.0
0.9,20,177,20,19,0.9316,5.0,900.0
0.9,20,173,20,18,0.9105,5.0,900.0
0.1,25,24,5,5,0.08,5.0,900.0
0.1,25,24,5,5,0.08,5.0,900.0
0.1,25,26,5,5,0.0867,5.0,841.2043
0.1,25,42,9,7,0.14,0.0,900.0
0.1,25,33,5,5,0.11,0.0,900.0
0.3,25,92,13,11,0.3067,0.0,900.0
0.3,25,109,16,13,0.3633,0.0,900.0
0.3,25,86,12,11,0.2867,0.0,900.0
0.3,25,87,14,11,0.29,0.0,900.0
0.3,25,87,12,11,0.29,0.0,900.0
0.5,25,152,19,14,0.5067,0.0,900.0
0.5,25,150,18,15,0.5,0.0,900.0
0.5,25,151,18,15,0.5033,0.0,900.0
0.5,25,170,19,16,0.5667,0.0,900.0
0.5,25,142,19,14,0.4733,0.0,900.0
0.7,25,213,23,18,0.71,5.0,900.0
0.7,25,213,21,19,0.71,5.0,900.0
0.7,25,208,20,19,0.6933,5.0,900.0
0.7,25,199,21,19,0.6633,5.0,900.0
0.7,25,201,21,18,0.67,5.0,900.0
0.9,25,270,25,22,0.9,5.0,900.0
0.9,25,266,25,22,0.8867,5.0,900.0
0.9,25,272,25,23,0.9067,5.0,900.0
0.9,25,274,25,23,0.9133,5.0,900.0
0.9,25,276,25,23,0.92,5.0,900.0
