prob,vertices,arestas,delta,stairfactor,densidade,grundy,tempo
0.1,10,1,2,2,0.0222,2,0.0001
0.1,10,1,2,2,0.0222,2,0.0001
0.1,10,4,3,3,0.0889,3,0.0012
0.1,10,4,4,2,0.0889,2,0.0004
0.1,10,6,4,3,0.1333,3,0.0016
0.3,10,8,4,4,0.1778,4,0.0061
0.3,10,13,5,5,0.2889,4,0.0404
0.3,10,12,5,5,0.2667,4,0.0365
0.3,10,12,6,5,0.2667,4,0.0271
0.3,10,17,6,5,0.3778,5,0.0849
0.5,10,17,6,5,0.3778,5,0.1071
0.5,10,25,8,7,0.5556,6,1.5538
0.5,10,23,8,6,0.5111,5,0.2997
0.5,10,19,7,5,0.4222,5,0.0771
0.5,10,26,8,7,0.5778,6,1.7141
0.7,10,28,9,7,0.6222,6,1.3922
0.7,10,32,9,8,0.7111,7,5.1758
0.7,10,33,9,8,0.7333,7,4.2902
0.7,10,32,9,7,0.7111,7,0.4409
0.7,10,35,10,8,0.7778,6,6.52
0.9,10,40,10,9,0.8889,7,13.5252
0.9,10,42,10,9,0.9333,8,4.5154
0.9,10,38,10,8,0.8444,8,1.15
0.9,10,42,10,9,0.9333,7,10.8979
0.9,10,42,10,9,0.9333,9,2.2952
0.1,15,16,5,5,0.1524,4.0,0.8766
0.1,15,11,6,4,0.1048,4.0,0.0282
0.1,15,10,4,4,0.0952,3.0,0.041
0.1,15,10,4,4,0.0952,3.0,0.0437
0.1,15,15,6,4,0.1429,4.0,0.1733
0.3,15,27,6,6,0.2571,5.0,144.9361
0.3,15,33,8,7,0.3143,6.0,655.5087
0.3,15,25,7,6,0.2381,6.0,24.7585
0.3,15,47,10,9,0.4476,6.0,900.0
0.3,15,26,7,7,0.2476,6.0,95.9129
0.5,15,59,11,10,0.5619,4.0,900.0
0.5,15,53,11,9,0.5048,4.0,900.0
0.5,15,56,11,10,0.5333,4.0,900.0
0.5,15,63,12,10,0.6,4.0,900.0
0.5,15,54,11,10,0.5143,4.0,900.0
0.7,15,71,13,10,0.6762,6.0,900.0
0.7,15,79,14,12,0.7524,6.0,900.0
0.7,15,79,13,12,0.7524,6.0,900.0
0.7,15,75,14,12,0.7143,6.0,900.0
0.7,15,77,13,12,0.7333,6.0,900.0
0.9,15,97,15,14,0.9238,6.0,900.0
0.9,15,96,15,14,0.9143,6.0,900.0
0.9,15,94,15,13,0.8952,6.0,900.0
0.9,15,96,15,13,0.9143,6.0,900.0
0.9,15,95,15,13,0.9048,6.0,900.0
0.1,20,18,6,5,0.0947,4.0,22.9227
0.1,20,22,5,5,0.1158,5.0,58.0643
0.1,20,23,7,5,0.1211,5.0,70.2427
0.1,20,19,5,5,0.1,4.0,60.3039
0.1,20,16,4,4,0.0842,4.0,6.7558
0.3,20,60,10,9,0.3158,5.0,900.0
0.3,20,48,9,7,0.2526,5.0,900.0
0.3,20,52,8,8,0.2737,5.0,900.0
0.3,20,65,12,9,0.3421,5.0,900.0
0.3,20,55,11,9,0.2895,5.0,900.0
0.5,20,103,15,13,0.5421,5.0,900.0
0.5,20,95,15,12,0.5,5.0,900.0
0.5,20,106,17,13,0.5579,5.0,900.0
0.5,20,84,13,10,0.4421,5.0,900.0
0.5,20,93,14,11,0.4895,5.0,900.0
0.7,20,138,18,15,0.7263,5.0,900.0
0.7,20,131,18,15,0.6895,5.0,900.0
0.7,20,131,17,14,0.6895,5.0,900.0
0.7,20,126,17,14,0.6632,5.0,900.0
0.7,20,142,19,16,0.7474,5.0,900.0
0.9,20,174,20,18,0.9158,5.0,900.0
0.9,20,170,20,18,0.8947,5.0,900.0
0.9,20,176,20,18,0.9263,5.0,900.0
0.9,20,177,20,19,0.9316,5.0,900.0
0.9,20,173,20,18,0.9105,5.0,900.0
0.1,25,24,5,5,0.08,5.0,900.0
0.1,25,24,5,5,0.08,5.0,900.0
0.1,25,26,5,5,0.0867,5.0,900.0
0.1,25,42,9,7,0.14,5.0,900.0
0.1,25,33,5,5,0.11,5.0,900.0
0.3,25,92,13,11,0.3067,5.0,900.0
0.3,25,109,16,13,0.3633,5.0,900.0
0.3,25,86,12,11,0.2867,5.0,900.0
0.3,25,87,14,11,0.29,5.0,900.0
0.3,25,87,12,11,0.29,5.0,900.0
0.5,25,152,19,14,0.5067,5.0,900.0
0.5,25,150,18,15,0.5,5.0,900.0
0.5,25,151,18,15,0.5033,5.0,900.0
0.5,25,170,19,16,0.5667,5.0,900.0
0.5,25,142,19,14,0.4733,5.0,900.0
0.7,25,213,23,18,0.71,5.0,900.0
0.7,25,213,21,19,0.71,5.0,900.0
0.7,25,208,20,19,0.6933,5.0,900.0
0.7,25,199,21,19,0.6633,5.0,900.0
0.7,25,201,21,18,0.67,5.0,900.0
0.9,25,270,25,22,0.9,5.0,900.0
0.9,25,266,25,22,0.8867,5.0,900.0
0.9,25,272,25,23,0.9067,5.0,900.0
0.9,25,274,25,23,0.9133,5.0,900.0
0.9,25,276,25,23,0.92,5.0,900.0
