prob,vertices,arestas,delta,stairfactor,densidade,grundy,tempo
0.1,10,1,2,2,0.0222,2.0,0.0119
0.1,10,1,2,2,0.0222,2.0,0.0108
0.1,10,4,3,3,0.0889,3.0,0.0284
0.1,10,4,4,2,0.0889,2.0,0.0177
0.1,10,6,4,3,0.1333,3.0,0.0292
0.3,10,8,4,4,0.1778,4.0,0.0311
0.3,10,13,5,5,0.2889,4.0,0.0795
0.3,10,12,5,5,0.2667,4.0,0.0606
0.3,10,12,6,5,0.2667,4.0,0.0762
0.3,10,17,6,5,0.3778,5.0,0.1449
0.5,10,17,6,5,0.3778,5.0,0.1322
0.5,10,25,8,7,0.5556,6.0,0.7168
0.5,10,23,8,6,0.5111,5.0,0.6689
0.5,10,19,7,5,0.4222,5.0,0.5618
0.5,10,26,8,7,0.5778,6.0,1.1794
0.7,10,28,9,7,0.6222,6.0,0.9007
0.7,10,32,9,8,0.7111,7.0,0.8713
0.7,10,33,9,8,0.7333,7.0,1.9226
0.7,10,32,9,7,0.7111,7.0,0.8967
0.7,10,35,10,8,0.7778,6.0,3.1379
0.9,10,40,10,9,0.8889,7.0,1.9686
0.9,10,42,10,9,0.9333,8.0,1.403
0.9,10,38,10,8,0.8444,8.0,1.1742
0.9,10,42,10,9,0.9333,7.0,1.469
0.9,10,42,10,9,0.9333,9.0,0.0928
0.1,15,16,5,5,0.1524,4.0,0.0879
0.1,15,11,6,4,0.1048,4.0,0.06
0.1,15,10,4,4,0.0952,3.0,0.0462
0.1,15,10,4,4,0.0952,3.0,0.048
0.1,15,15,6,4,0.1429,4.0,0.0739
0.3,15,27,6,6,0.2571,5.0,1.6404
0.3,15,33,8,7,0.3143,6.0,2.0773
0.3,15,25,7,6,0.2381,6.0,0.5147
0.3,15,47,10,9,0.4476,7.0,11.1161
0.3,15,26,7,7,0.2476,6.0,0.6713
0.5,15,59,11,10,0.5619,9.0,30.2045
0.5,15,53,11,9,0.5048,8.0,19.1252
0.5,15,56,11,10,0.5333,9.0,22.1073
0.5,15,63,12,10,0.6,9.0,41.3577
0.5,15,54,11,10,0.5143,8.0,20.8988
0.7,15,71,13,10,0.6762,8.0,59.3668
0.7,15,79,14,12,0.7524,10.0,236.3678
0.7,15,79,13,12,0.7524,9.0,368.3202
0.7,15,75,14,12,0.7143,9.0,202.5697
0.7,15,77,13,12,0.7333,10.0,56.8919
0.9,15,97,15,14,0.9238,11.0,255.2446
0.9,15,96,15,14,0.9143,10.0,407.1343
0.9,15,94,15,13,0.8952,10.0,900.1575
0.9,15,96,15,13,0.9143,11.0,165.6825
0.9,15,95,15,13,0.9048,11.0,132.2415
0.1,20,18,6,5,0.0947,4.0,0.2117
0.1,20,22,5,5,0.1158,5.0,0.0948
0.1,20,23,7,5,0.1211,5.0,1.0873
0.1,20,19,5,5,0.1,4.0,0.1217
0.1,20,16,4,4,0.0842,4.0,0.0583
0.3,20,60,10,9,0.3158,8.0,55.0297
0.3,20,48,9,7,0.2526,7.0,22.8978
0.3,20,52,8,8,0.2737,7.0,42.8496
0.3,20,65,12,9,0.3421,8.0,82.6814
0.3,20,55,11,9,0.2895,7.0,32.9144
0.5,20,103,15,13,0.5421,10.0,900.1386
0.5,20,95,15,12,0.5,10.0,900.0994
0.5,20,106,17,13,0.5579,10.0,900.1658
0.5,20,84,13,10,0.4421,9.0,422.388
0.5,20,93,14,11,0.4895,10.0,869.3215
0.7,20,138,18,15,0.7263,12.0,900.153
0.7,20,131,18,15,0.6895,12.0,900.1816
0.7,20,131,17,14,0.6895,12.0,900.1664
0.7,20,126,17,14,0.6632,11.0,900.236
0.7,20,142,19,16,0.7474,13.0,900.2769
0.9,20,174,20,18,0.9158,16.0,900.2701
0.9,20,170,20,18,0.8947,14.0,900.2477
0.9,20,176,20,18,0.9263,15.0,900.1885
0.9,20,177,20,19,0.9316,13.0,900.2152
0.9,20,173,20,18,0.9105,14.0,900.228
0.1,25,24,5,5,0.08,4.0,0.5229
0.1,25,24,5,5,0.08,4.0,0.1715
0.1,25,26,5,5,0.0867,5.0,0.1849
0.1,25,42,9,7,0.14,6.0,7.7589
0.1,25,33,5,5,0.11,5.0,0.1703
0.3,25,92,13,11,0.3067,9.0,390.7195
0.3,25,109,16,13,0.3633,10.0,900.1336
0.3,25,86,12,11,0.2867,9.0,327.2523
0.3,25,87,14,11,0.29,9.0,541.5691
0.3,25,87,12,11,0.29,9.0,690.3803
0.5,25,152,19,14,0.5067,12.0,900.2666
0.5,25,150,18,15,0.5,10.0,900.2006
0.5,25,151,18,15,0.5033,11.0,900.1998
0.5,25,170,19,16,0.5667,12.0,900.1692
0.5,25,142,19,14,0.4733,10.0,900.1573
0.7,25,213,23,18,0.71,14.0,900.2199
0.7,25,213,21,19,0.71,14.0,900.2241
0.7,25,208,20,19,0.6933,14.0,900.1804
0.7,25,199,21,19,0.6633,13.0,900.244
0.7,25,201,21,18,0.67,14.0,900.2087
0.9,25,270,25,22,0.9,17.0,900.3176
0.9,25,266,25,22,0.8867,17.0,900.2874
0.9,25,272,25,23,0.9067,17.0,900.2522
0.9,25,274,25,23,0.9133,18.0,900.2752
0.9,25,276,25,23,0.92,16.0,900.3682
