prob,vertices,arestas,delta,stairfactor,densidade,grundy,tempo
0.1,10,1,2,2,0.0222,2.0,0.0259
0.1,10,1,2,2,0.0222,2.0,0.0217
0.1,10,4,3,3,0.0889,3.0,0.0413
0.1,10,4,4,2,0.0889,2.0,0.026
0.1,10,6,4,3,0.1333,3.0,0.0377
0.3,10,8,4,4,0.1778,4.0,0.0464
0.3,10,13,5,5,0.2889,4.0,0.1422
0.3,10,12,5,5,0.2667,4.0,0.143
0.3,10,12,6,5,0.2667,4.0,0.1657
0.3,10,17,6,5,0.3778,5.0,0.6552
0.5,10,17,6,5,0.3778,4.999999999999999,1.0408
0.5,10,25,8,7,0.5556,6.0,1.7364
0.5,10,23,8,6,0.5111,5.0,0.7357
0.5,10,19,7,5,0.4222,5.0,0.5859
0.5,10,26,8,7,0.5778,6.0,1.3582
0.7,10,28,9,7,0.6222,6.0,0.9768
0.7,10,32,9,8,0.7111,7.0,2.3001
0.7,10,33,9,8,0.7333,7.0,2.2645
0.7,10,32,9,7,0.7111,7.0,2.757
0.7,10,35,10,8,0.7778,6.0,3.1557
0.9,10,40,10,9,0.8889,7.0,1.8242
0.9,10,42,10,9,0.9333,8.0,1.1876
0.9,10,38,10,8,0.8444,8.0,1.0353
0.9,10,42,10,9,0.9333,7.0,1.3072
0.9,10,42,10,9,0.9333,9.0,0.081
0.1,15,16,5,5,0.1524,4.0,1.1801
0.1,15,11,6,4,0.1048,4.0,0.1381
0.1,15,10,4,4,0.0952,3.0,0.1247
0.1,15,10,4,4,0.0952,3.0,0.1311
0.1,15,15,6,4,0.1429,4.0,0.1424
0.3,15,27,6,6,0.2571,5.0,5.6432
0.3,15,33,8,7,0.3143,5.999999999999999,5.2559
0.3,15,25,7,6,0.2381,6.0,3.5986
0.3,15,47,10,9,0.4476,6.999999999999999,17.7309
0.3,15,26,7,7,0.2476,6.0,2.7959
0.5,15,59,11,10,0.5619,9.0,35.9731
0.5,15,53,11,9,0.5048,8.0,28.7269
0.5,15,56,11,10,0.5333,9.0,31.0847
0.5,15,63,12,10,0.6,9.0,45.5702
0.5,15,54,11,10,0.5143,8.0,25.5704
0.7,15,71,13,10,0.6762,8.0,61.1933
0.7,15,79,14,12,0.7524,10.0,247.2374
0.7,15,79,13,12,0.7524,9.0,272.0524
0.7,15,75,14,12,0.7143,9.0,134.0065
0.7,15,77,13,12,0.7333,10.0,78.8154
0.9,15,97,15,14,0.9238,11.0,202.7428
0.9,15,96,15,14,0.9143,10.0,313.4145
0.9,15,94,15,13,0.8952,0.0,900.0
0.9,15,96,15,13,0.9143,11.0,147.5322
0.9,15,95,15,13,0.9048,11.000000000000002,116.7654
0.1,20,18,6,5,0.0947,3.9999999999999982,0.6618
0.1,20,22,5,5,0.1158,5.0,1.4076
0.1,20,23,7,5,0.1211,5.0,5.386
0.1,20,19,5,5,0.1,4.0,0.6578
0.1,20,16,4,4,0.0842,4.0,0.2848
0.3,20,60,10,9,0.3158,8.0,65.4624
0.3,20,48,9,7,0.2526,7.0,32.0499
0.3,20,52,8,8,0.2737,6.999999999999999,45.7525
0.3,20,65,12,9,0.3421,8.0,66.8993
0.3,20,55,11,9,0.2895,7.0,58.3487
0.5,20,103,15,13,0.5421,0.0,900.0
0.5,20,95,15,12,0.5,10.0,708.2436
