prob,vertices,arestas,delta,stairfactor,densidade,grundy,tempo
0.1,10,1,2,2,0.0222,2.0,0.0157
0.1,10,1,2,2,0.0222,2.0,0.0129
0.1,10,4,3,3,0.0889,3.0,0.0208
0.1,10,4,4,2,0.0889,2.0,0.0099
0.1,10,6,4,3,0.1333,3.0,0.0185
0.3,10,8,4,4,0.1778,4.0,0.0963
0.3,10,13,5,5,0.2889,4.0,0.0725
0.3,10,12,5,5,0.2667,4.0,0.0637
0.3,10,12,6,5,0.2667,4.0,0.0663
0.3,10,17,6,5,0.3778,5.0,0.0345
0.5,10,17,6,5,0.3778,5.0,0.0562
0.5,10,25,8,7,0.5556,6.0,1.0744
0.5,10,23,8,6,0.5111,5.0,0.2125
0.5,10,19,7,5,0.4222,5.0,0.0383
0.5,10,26,8,7,0.5778,6.0,1.2967
0.7,10,28,9,7,0.6222,6.0,1.2815
0.7,10,32,9,8,0.7111,7.0,1.3593
0.7,10,33,9,8,0.7333,7.0,1.4801
0.7,10,32,9,7,0.7111,7.0,0.0527
0.7,10,35,10,8,0.7778,6.0,1.1978
0.9,10,40,10,9,0.8889,7.0,1.5233
0.9,10,42,10,9,0.9333,8.0,1.0559
0.9,10,38,10,8,0.8444,8.0,0.0495
0.9,10,42,10,9,0.9333,7.0,1.1816
0.9,10,42,10,9,0.9333,9.0,0.0646
0.1,15,16,5,5,0.1524,4.0,0.0772
0.1,15,11,6,4,0.1048,4.0,0.0469
0.1,15,10,4,4,0.0952,3.0,0.0505
0.1,15,10,4,4,0.0952,3.0,0.0561
0.1,15,15,6,4,0.1429,4.0,0.0471
0.3,15,27,6,6,0.2571,5.0,1.591
0.3,15,33,8,7,0.3143,6.0,1.938
0.3,15,25,7,6,0.2381,6.0,0.198
0.3,15,47,10,9,0.4476,7.0,7.9937
0.3,15,26,7,7,0.2476,6.0,0.6332
0.5,15,59,11,10,0.5619,9.0,19.3987
0.5,15,53,11,9,0.5048,8.0,20.506
0.5,15,56,11,10,0.5333,9.0,11.7819
0.5,15,63,12,10,0.6,9.0,28.1442
0.5,15,54,11,10,0.5143,8.0,20.6971
0.7,15,71,13,10,0.6762,8.0,57.1034
0.7,15,79,14,12,0.7524,10.0,257.9647
0.7,15,79,13,12,0.7524,9.0,310.7801
0.7,15,75,14,12,0.7143,9.0,239.7873
0.7,15,77,13,12,0.7333,10.0,55.1051
0.9,15,97,15,14,0.9238,11.000000000000002,197.306
0.9,15,96,15,14,0.9143,10.0,331.0792
0.9,15,94,15,13,0.8952,10.0,773.1803
0.9,15,96,15,13,0.9143,11.0,131.0978
0.9,15,95,15,13,0.9048,11.0,134.0237
0.1,20,18,6,5,0.0947,4.0,0.0872
0.1,20,22,5,5,0.1158,5.0,0.0783
0.1,20,23,7,5,0.1211,5.0,0.071
0.1,20,19,5,5,0.1,4.0,0.1124
0.1,20,16,4,4,0.0842,4.0,0.0586
0.3,20,60,10,9,0.3158,8.0,54.4168
0.3,20,48,9,7,0.2526,7.0,22.2265
0.3,20,52,8,8,0.2737,7.0,43.3564
0.3,20,65,12,9,0.3421,8.0,95.7179
0.3,20,55,11,9,0.2895,7.0,48.9408
0.5,20,103,15,13,0.5421,10.0,900.1529
0.5,20,95,15,12,0.5,10.0,900.097
0.5,20,106,17,13,0.5579,11.0,900.097
0.5,20,84,13,10,0.4421,9.0,192.0769
0.5,20,93,14,11,0.4895,10.0,671.4922
0.7,20,138,18,15,0.7263,13.0,900.1128
0.7,20,131,18,15,0.6895,12.0,900.1406
0.7,20,131,17,14,0.6895,12.0,900.1506
0.7,20,126,17,14,0.6632,11.0,900.1006
0.7,20,142,19,16,0.7474,13.0,900.1489
0.9,20,174,20,18,0.9158,16.0,900.1445
0.9,20,170,20,18,0.8947,14.0,900.1718
0.9,20,176,20,18,0.9263,15.0,900.2173
0.9,20,177,20,19,0.9316,13.000000000000002,900.2156
0.9,20,173,20,18,0.9105,14.0,900.2024
0.1,25,24,5,5,0.08,4.0,0.4831
0.1,25,24,5,5,0.08,4.0,0.1365
0.1,25,26,5,5,0.0867,5.0,0.1633
0.1,25,42,9,7,0.14,6.0,8.5693
0.1,25,33,5,5,0.11,5.0,0.1446
0.3,25,92,13,11,0.3067,0.0,900.0
0.3,25,109,16,13,0.3633,0.0,900.0
0.3,25,86,12,11,0.2867,9.0,333.3051
0.3,25,87,14,11,0.29,0.0,900.0
0.3,25,87,12,11,0.29,9.0,492.7151
0.5,25,152,19,14,0.5067,12.0,900.1233
0.5,25,150,18,15,0.5,12.0,900.1283
0.5,25,151,18,15,0.5033,12.0,900.1512
0.5,25,170,19,16,0.5667,12.0,900.1564
0.5,25,142,19,14,0.4733,11.0,900.1562
0.7,25,213,23,18,0.71,14.000000000000002,900.1791
0.7,25,213,21,19,0.71,14.0,900.1762
0.7,25,208,20,19,0.6933,14.0,900.1928
0.7,25,199,21,19,0.6633,14.0,900.1347
0.7,25,201,21,18,0.67,15.0,900.1477
0.9,25,270,25,22,0.9,17.0,900.2648
0.9,25,266,25,22,0.8867,17.0,900.2133
0.9,25,272,25,23,0.9067,17.0,900.2233
0.9,25,274,25,23,0.9133,18.0,900.2903
0.9,25,276,25,23,0.92,16.0,900.2459
