prob,vertices,arestas,densidade,pdg,bbgdelta,bbgstf,plidelta,plistf
0.1,10,1,0.0222,,2.0,2.0,2.0,2.0
0.1,10,1,0.0222,,2.0,2.0,2.0,2.0
0.1,10,4,0.0889,,3.0,3.0,3.0,3.0
0.1,10,4,0.0889,,2.0,2.0,2.0,2.0
0.1,10,6,0.1333,,3.0,3.0,3.0,3.0
0.3,10,8,0.1778,,4.0,4.0,4.0,4.0
0.3,10,13,0.2889,,4.0,4.0,4.0,4.0
0.3,10,12,0.2667,,4.0,4.0,4.0,4.0
0.3,10,12,0.2667,,4.0,4.0,4.0,4.0
0.3,10,17,0.3778,,5.0,5.0,5.0,5.0
0.5,10,17,0.3778,,5.0,5.0,5.0,5.0
0.5,10,25,0.5556,,6.0,6.0,6.0,6.0
0.5,10,23,0.5111,,5.0,5.0,5.0,5.0
0.5,10,19,0.4222,,5.0,5.0,5.0,5.0
0.5,10,26,0.5778,,6.0,6.0,6.0,6.0
0.7,10,28,0.6222,,6.0,6.0,6.0,6.0
0.7,10,32,0.7111,,7.0,7.0,7.0,7.0
0.7,10,33,0.7333,,7.0,7.0,7.0,7.0
0.7,10,32,0.7111,,7.0,7.0,7.0,7.0
0.7,10,35,0.7778,,6.0,6.0,6.0,6.0
0.9,10,40,0.8889,,7.0,7.0,7.0,7.0
0.9,10,42,0.9333,,8.0,8.0,8.0,8.0
0.9,10,38,0.8444,,8.0,8.0,8.0,8.0
0.9,10,42,0.9333,,7.0,7.0,7.0,7.0
0.9,10,42,0.9333,,9.0,9.0,9.0,9.0
0.1,15,16,0.1524,,4.0,4.0,4.0,4.0
0.1,15,11,0.1048,,4.0,4.0,4.0,4.0
0.1,15,10,0.0952,,3.0,3.0,3.0,3.0
0.1,15,10,0.0952,,3.0,3.0,3.0,3.0
0.1,15,15,0.1429,,4.0,4.0,4.0,4.0
0.3,15,27,0.2571,,5.0,5.0,5.0,5.0
0.3,15,33,0.3143,,6.0,6.0,6.0,6.0
0.3,15,25,0.2381,,6.0,6.0,6.0,6.0
0.3,15,47,0.4476,,6.0,6.0,7.0,7.0
0.3,15,26,0.2476,,6.0,6.0,6.0,6.0
0.5,15,59,0.5619,,4.0,4.0,9.0,9.0
0.5,15,53,0.5048,,4.0,4.0,8.0,8.0
0.5,15,56,0.5333,,4.0,4.0,9.0,9.0
0.5,15,63,0.6,,4.0,4.0,9.0,9.0
0.5,15,54,0.5143,,4.0,4.0,8.0,8.0
0.7,15,71,0.6762,,6.0,6.0,8.0,8.0
0.7,15,79,0.7524,,6.0,6.0,10.0,10.0
0.7,15,79,0.7524,,6.0,6.0,9.0,9.0
0.7,15,75,0.7143,,6.0,6.0,9.0,9.0
0.7,15,77,0.7333,,6.0,6.0,10.0,10.0
0.9,15,97,0.9238,,6.0,6.0,11.0,11.0
0.9,15,96,0.9143,,6.0,6.0,10.0,10.0
0.9,15,94,0.8952,,6.0,6.0,10.0,10.0
0.9,15,96,0.9143,,6.0,6.0,11.0,11.0
0.9,15,95,0.9048,,6.0,6.0,11.0,11.0
0.1,20,18,0.0947,,4.0,4.0,4.0,4.0
0.1,20,22,0.1158,,5.0,5.0,5.0,5.0
0.1,20,23,0.1211,,5.0,5.0,5.0,5.0
0.1,20,19,0.1,,4.0,4.0,4.0,4.0
0.1,20,16,0.0842,,4.0,4.0,4.0,4.0
0.3,20,60,0.3158,,,5.0,8.0,8.0
0.3,20,48,0.2526,,,5.0,7.0,7.0
0.3,20,52,0.2737,,,5.0,7.0,7.0
0.3,20,65,0.3421,,,5.0,8.0,8.0
0.3,20,55,0.2895,,,5.0,7.0,7.0
0.5,20,103,0.5421,,,5.0,10.0,10.0
0.5,20,95,0.5,,,5.0,10.0,10.0
0.5,20,106,0.5579,,,5.0,10.0,11.0
0.5,20,84,0.4421,,,5.0,9.0,9.0
0.5,20,93,0.4895,,,5.0,10.0,10.0
0.7,20,138,0.7263,,,5.0,12.0,13.0
0.7,20,131,0.6895,,,5.0,12.0,12.0
0.7,20,131,0.6895,,,5.0,12.0,12.0
0.7,20,126,0.6632,,,5.0,11.0,11.0
0.7,20,142,0.7474,,,5.0,13.0,13.0
0.9,20,174,0.9158,,,5.0,16.0,16.0
0.9,20,170,0.8947,,,5.0,14.0,14.0
0.9,20,176,0.9263,,,5.0,15.0,15.0
0.9,20,177,0.9316,,,5.0,13.0,13.0
0.9,20,173,0.9105,,,5.0,14.0,14.0
0.1,25,24,0.08,,,4.0,4.0,4.0
0.1,25,24,0.08,,,4.0,4.0,4.0
0.1,25,26,0.0867,,,5.0,5.0,5.0
0.1,25,42,0.14,,,5.0,6.0,6.0
0.1,25,33,0.11,,,5.0,5.0,5.0
0.3,25,92,0.3067,,,5.0,9.0,9.0
0.3,25,109,0.3633,,,5.0,10.0,11.0
0.3,25,86,0.2867,,,5.0,9.0,9.0
0.3,25,87,0.29,,,5.0,9.0,9.0
0.3,25,87,0.29,,,5.0,9.0,9.0
0.5,25,152,0.5067,,,5.0,12.0,12.0
0.5,25,150,0.5,,,5.0,10.0,12.0
0.5,25,151,0.5033,,,5.0,11.0,12.0
0.5,25,170,0.5667,,,5.0,12.0,12.0
0.5,25,142,0.4733,,,5.0,10.0,11.0
0.7,25,213,0.71,,,5.0,14.0,14.0
