vertices,arestas,pdg,bbgdelta,bbgstf,bbgseis,plidelta,plistf,pliseis
8,10,0.0762,0.0161,0.0027,0.0293,0.0394,0.082,0.0491
10,13,0.3778,0.1651,0.0116,0.2872,0.0606,0.0435,0.0629
12,16,1.2062,1.4246,0.0445,0.4883,0.068,0.0376,0.0572
14,19,11.4254,11.1389,0.1894,3.009,0.0721,0.0375,0.0727
16,22,108.3477,116.5312,0.8395,16.4833,0.116,0.0523,0.0875
18,25,900.0,900.0,2.9018,100.3524,0.1887,0.0494,0.0874
20,28,900.0,900.0,11.6255,900.0,0.2177,0.0551,0.0868
12,17,2.1991,1.8346,0.4093,3.2807,0.4721,0.1091,0.4377
15,22,32.7218,72.1091,23.9064,75.0785,1.0623,0.6602,0.7215
18,27,900.0,900.0,426.9011,900.0,1.4386,0.6507,0.6518
21,32,900.0,900.0,900.0,900.0,2.4435,0.7305,0.8026
24,37,900.0,900.0,900.0,900.0,6.9443,1.1645,1.2642
27,42,900.0,900.0,900.0,900.0,6.5457,2.46,2.7442
30,47,900.0,900.0,900.0,900.0,12.2451,1.5074,1.6489
16,24,66.1942,66.6297,66.2718,142.4074,1.159,1.0894,1.1959
20,31,900.0,900.0,900.0,900.0,2.3749,2.2848,1.8785
24,38,900.0,900.0,900.0,900.0,5.162,3.2007,3.5301
28,45,900.0,900.0,900.0,900.0,8.1062,5.1624,0.8722
32,52,900.0,900.0,900.0,900.0,14.626,6.182,4.7127
36,59,900.0,900.0,900.0,900.0,20.5432,6.5794,5.2777
40,66,900.0,900.0,900.0,900.0,22.8508,16.7327,23.828
20,31,900.0,900.0,900.0,900.0,2.9415,2.6892,3.2066
25,40,900.0,900.0,900.0,900.0,8.786,8.4706,6.8728
30,49,900.0,900.0,900.0,900.0,12.9326,12.3889,8.9107
35,58,900.0,900.0,900.0,900.0,17.2346,20.3157,13.6159
40,67,900.0,900.0,900.0,900.0,37.8896,22.2911,32.295
45,76,900.0,900.0,900.0,900.0,51.6786,34.523,49.3161
50,85,900.0,900.0,900.0,900.0,52.2218,36.0979,78.8473
24,38,900.0,900.0,900.0,900.0,9.0053,8.4999,9.5815
30,49,900.0,900.0,900.0,900.0,36.2336,31.9167,8.7341
36,60,900.0,900.0,900.0,900.0,67.1495,63.4895,15.2737
42,71,900.0,900.0,900.0,900.0,48.8592,45.0427,7.5533
48,82,900.0,900.0,900.0,900.0,66.5362,135.5291,64.4436
54,93,900.0,900.0,900.0,900.0,77.5418,157.839,1.0228
60,104,900.0,900.0,900.0,900.0,87.5413,115.2027,209.3208
28,45,900.0,900.0,900.0,900.0,0.8058,0.7864,0.8313
35,58,900.0,900.0,900.0,900.0,206.4198,190.081,2.0438
42,71,900.0,900.0,900.0,900.0,124.7866,117.3388,7.5533
49,84,900.0,900.0,900.0,900.0,236.5694,216.6919,72.3437
56,97,900.0,900.0,900.0,900.0,110.8571,96.575,13.8502
63,110,900.0,900.0,900.0,900.0,111.9609,102.8806,12.9716
70,123,900.0,900.0,900.0,900.0,900.0,127.9469,55.372
32,52,900.0,900.0,900.0,900.0,3.289,2.6586,3.1894
40,67,900.0,900.0,900.0,900.0,351.0871,309.2882,0.9798
48,82,900.0,900.0,900.0,900.0,158.4098,144.8124,17.3972
56,97,900.0,900.0,900.0,900.0,118.7356,109.5733,95.2578
64,112,900.0,900.0,900.0,900.0,169.1582,161.7867,7.7991
72,127,900.0,900.0,900.0,900.0,179.3899,215.138,622.954
80,142,900.0,900.0,900.0,900.0,245.0823,900.0,0.9805
36,59,900.0,900.0,900.0,900.0,12.3682,20.6295,14.4236
45,76,900.0,900.0,900.0,900.0,900.0,900.0,1.6039
54,93,900.0,900.0,900.0,900.0,900.0,900.0,28.9685
63,110,900.0,900.0,900.0,900.0,329.3761,576.5879,20.1874
72,127,900.0,900.0,900.0,900.0,563.4221,900.0,756.8502
81,144,900.0,900.0,900.0,900.0,900.0,900.0,10.4491
90,161,900.0,900.0,900.0,900.0,332.0421,365.5683,46.2144
